t v n o
4.3299999 -61.071693 0.0007240916 4.4003682e-05
4.3400002 -61.066608 0.00072483672 4.4117056e-05
4.3499999 -61.061527 0.00072558201 4.423051e-05
4.3600001 -61.056446 0.00072632747 4.4344048e-05
4.3699999 -61.051369 0.00072707317 4.4457665e-05
4.3800001 -61.046291 0.0007278191 4.4571363e-05
4.3899999 -61.041218 0.00072856521 4.4685141e-05
4.4000001 -61.036148 0.00072931161 4.4799002e-05
4.4099998 -61.031078 0.00073005829 4.4912944e-05
4.4200001 -61.026009 0.00073080527 4.5026965e-05
4.4299998 -61.020943 0.00073155249 4.5141071e-05
4.4400001 -61.015877 0.00073230005 4.5255256e-05
4.4499998 -61.010815 0.00073304796 4.5369521e-05
4.46 -61.005753 0.00073379616 4.548387e-05
4.4699998 -61.00069 0.00073454471 4.5598303e-05
4.48 -60.995632 0.00073529367 4.5712812e-05
4.4899998 -60.990574 0.00073604297 4.5827408e-05
4.5 -60.985516 0.00073679269 4.5942081e-05
4.5100002 -60.980461 0.00073754281 4.6056837e-05
4.52 -60.975407 0.00073829334 4.6171677e-05
4.5300002 -60.970348 0.00073904428 4.6286597e-05
4.54 -60.965298 0.00073979574 4.6401601e-05
4.5500002 -60.960243 0.00074054761 4.6516689e-05
4.5599999 -60.955189 0.0007413 4.6631856e-05
4.5700002 -60.950134 0.00074205291 4.6747104e-05
4.5799999 -60.945084 0.0007428063 4.6862438e-05
4.5900002 -60.940029 0.0007435602 4.6977853e-05
4.5999999 -60.934978 0.00074431463 4.7093348e-05
4.6100001 -60.929924 0.00074506964 4.720893e-05
4.6199999 -60.924873 0.00074582524 4.7324593e-05
4.6300001 -60.919819 0.00074658135 4.7440339e-05
4.6399999 -60.914764 0.00074733811 4.7556168e-05
4.6500001 -60.909714 0.00074809551 4.7672082e-05
4.6599998 -60.904659 0.00074885349 4.7788075e-05
4.6700001 -60.899605 0.00074961217 4.7904156e-05
4.6799998 -60.894547 0.00075037149 4.802032e-05
4.6900001 -60.889492 0.00075113145 4.8136564e-05
4.6999998 -60.884434 0.0007518921 4.8252896e-05
4.71 -60.879375 0.00075265346 4.8369307e-05
4.7199998 -60.874313 0.00075341557 4.8485806e-05
4.73 -60.869255 0.00075417839 4.8602389e-05
4.7399998 -60.864193 0.00075494201 4.8719055e-05
4.75 -60.859127 0.00075570634 4.8835806e-05
4.7600002 -60.854061 0.00075647148 4.8952639e-05
4.77 -60.848995 0.00075723737 4.906956e-05
4.7800002 -60.843925 0.00075800414 4.9186565e-05
4.79 -60.838856 0.00075877167 4.9303657e-05
4.8000002 -60.833786 0.00075954013 4.9420833e-05
4.8099999 -60.828709 0.0007603094 4.9538092e-05
4.8200002 -60.823635 0.00076107954 4.9655438e-05
4.8299999 -60.818554 0.00076185056 4.9772869e-05
4.8400002 -60.813473 0.00076262251 4.9890386e-05
4.8499999 -60.808392 0.00076339539 5.0007991e-05
4.8600001 -60.803307 0.00076416921 5.012568e-05
4.8699999 -60.798218 0.00076494401 5.024346e-05
4.8800001 -60.793125 0.00076571974 5.0361319e-05
4.8899999 -60.788033 0.00076649652 5.047927e-05
4.9000001 -60.782936 0.00076727424 5.0597308e-05
4.9099998 -60.777836 0.00076805305 5.0715429e-05
4.9200001 -60.772732 0.00076883286 5.0833642e-05
4.9299998 -60.767624 0.00076961372 5.0951941e-05
4.9400001 -60.762516 0.00077039568 5.1070325e-05
4.9499998 -60.757401 0.00077117869 5.1188799e-05
4.96 -60.752285 0.00077196286 5.1307365e-05
4.9699998 -60.747166 0.00077274814 5.1426014e-05
4.98 -60.742043 0.00077353453 5.1544754e-05
4.9899998 -60.736916 0.00077432214 5.1663581e-05
5 -60.731781 0.00077511085 5.1782496e-05
5.0100002 -60.726646 0.00077590079 5.1901505e-05
5.02 -60.721508 0.000776692 5.2020598e-05
5.0300002 -60.716362 0.00077748438 5.2139785e-05
5.04 -60.711212 0.00077827799 5.225906e-05
5.0500002 -60.706062 0.00077907293 5.2378426e-05
5.0599999 -60.700905 0.00077986909 5.2497879e-05
5.0700002 -60.69574 0.0007806666 5.2617426e-05
5.0799999 -60.690575 0.00078146544 5.2737061e-05
5.0900002 -60.685402 0.00078226562 5.2856791e-05
5.0999999 -60.680225 0.00078306714 5.2976611e-05
5.1100001 -60.675045 0.00078387 5.3096523e-05
5.1199999 -60.669857 0.00078467431 5.3216525e-05
5.1300001 -60.664665 0.00078548002 5.3336618e-05
5.1399999 -60.659466 0.00078628719 5.3456806e-05
5.1500001 -60.654263 0.00078709575 5.3577089e-05
5.1599998 -60.649052 0.00078790582 5.3697462e-05
5.1700001 -60.643837 0.00078871741 5.3817927e-05
5.1799998 -60.638618 0.00078953046 5.3938489e-05
5.1900001 -60.633392 0.00079034508 5.4059143e-05
